Note,regular.wav,slowing_down.wav
59,4.817,4.817
57,5.425,5.429
55,5.947,5.926
54,6.505,6.48
52,7.02,7.007
55,7.259,7.246
54,7.605,7.588
57,7.89,7.88
55,8.209,8.164
50,8.694,8.682
62,9.269,9.25
60,9.861,9.813
59,10.385,10.353
55,10.907,10.867
54,11.459,11.399
52,12.067,11.982
50,12.618,12.498
59,14.156,13.664
57,14.392,14.205
55,14.854,14.679
54,15.399,15.246
52,15.904,15.743
55,16.219,15.951
54,16.478,16.288
57,16.768,16.558
55,17.061,16.886
50,17.505,17.36
62,18.06,17.883
60,18.645,18.437
59,19.176,18.974
55,19.704,19.443
54,20.209,19.976
52,20.744,20.52
50,21.349,21.066
57,22.495,22.213
55,23.053,22.825
54,23.562,23.247
60,24.665,24.379
59,25.223,24.957
57,25.788,25.52
64,26.951,26.731
62,27.452,27.262
60,27.957,27.736
59,28.528,28.316
57,29.052,28.888
60,29.319,29.216
59,29.585,29.522
62,29.857,29.877
60,30.12,30.289
57,30.964,31.747
59,31.329,32.407
57,31.93,33.001
55,32.382,33.481
54,32.665,34.047
52,32.954,34.531
55,33.475,34.765
54,34.013,35.106
57,34.276,35.377
55,34.572,35.678
50,35.13,36.166
64,35.628,36.715
62,36.226,37.287
60,36.701,37.752
59,37.293,38.342
54,37.837,38.962
60,38.193,39.184
54,38.382,39.445
57,38.611,39.685
55,38.92,39.964
57,40.116,41.059
55,40.675,41.626
54,41.19,42.176
60,42.283,43.275
59,42.814,43.846
57,43.382,44.378
64,44.523,45.504
62,45.083,46.039
60,45.612,46.546
59,46.183,47.077
57,46.685,47.658
60,46.93,47.959
59,47.203,48.252
62,47.482,48.624
60,47.743,49.036
57,48.565,50.264
59,48.871,50.964
57,49.396,51.58
55,49.878,52.099
54,50.459,52.618
52,50.967,53.114
55,51.213,53.398
54,51.538,53.699
57,51.801,53.978
55,52.103,54.24
50,52.595,54.754
64,53.166,55.321
62,53.698,55.911
60,54.18,56.461
59,54.751,57.072
54,55.243,57.763
60,55.522,58.1
54,55.804,58.468
57,56.093,58.924
55,54.421,59.532