Serial No.,Note,baseline_beat,rubato_beat,pauses_beat,accelerando_beat,ritardando_beat,sine_wave_tempo_beat
1,59,3.3333333333333335,3.4756944444444446,8.333333333333334,3.3313337930614293,3.33533376239472,3.3584006188713094
2,61,5.0,4.954861111111112,10.0,4.162167701054883,4.171167632054786,4.223068059127113
3,62,6.666666666666667,6.736111111111111,11.666666666666668,4.993001609048335,5.007001501714853,5.087735499382916
4,62,10.0,9.694444444444445,20.0,6.6506753166767725,6.682664233970639,6.866349240662865
5,61,13.333333333333334,13.517361111111112,23.333333333333332,8.306348819875353,8.360326847020774,8.669244275360514
6,59,15.000000000000002,15.045138888888891,25.0,9.132182209640634,9.201160415787507,9.59460984102723
7,61,16.666666666666668,16.87847222222222,26.666666666666668,9.958015599405917,10.04199398455424,10.519975406693947
8,61,23.333333333333332,24.04861111111111,38.333333333333336,13.253361341902771,13.413318797479771,14.312221663030835
9,62,25.0,25.55902777777778,45.00000000000001,14.074210378816817,14.259136516155861,15.292336661230838
10,64,26.666666666666668,27.416666666666664,46.66666666666667,14.895043787393213,15.104969856537805,16.272617335193406
11,64,30.0,30.368055555555557,50.00000000000001,16.534727193950555,16.798622006537478,18.252380475880766
12,62,33.333333333333336,33.88541666666667,53.333333333333336,18.17139644109907,18.49529144443089,20.261324293757955
13,61,35.0,35.77777777777778,55.00000000000001,18.988251351829838,19.345104645304666,21.27851177685298
14,62,36.66666666666667,37.333333333333336,56.66666666666667,19.804085052288336,20.195938206945005,22.30447479704188
15,59,43.333333333333336,43.06944444444444,63.333333333333336,23.06144012065025,23.605252815698776,26.45246256169015
16,61,45.00000000000001,44.97916666666667,65.0,23.87429973510563,24.459060947631833,27.499746985443526
17,62,46.66666666666667,46.84375,66.66666666666667,24.685133775215967,25.31489560037692,28.559289008999265
18,62,50.00000000000001,50.67013888888889,75.0,26.306801855436646,27.0265649058671,30.67837305611074
19,61,53.333333333333336,53.53819444444444,78.33333333333333,27.92350160171092,28.743201135130953,32.8204277681996
20,59,55.00000000000001,55.45138888888889,80.0,28.731835851156404,29.60153486902003,33.89152735903956
21,61,56.66666666666667,57.125,81.66666666666667,29.538201343082342,30.461837652107015,34.968775235613045
22,61,63.333333333333336,64.53819444444446,93.33333333333333,32.75757463130472,33.909137780408614,39.29064126115936
23,62,65.0,66.03125,100.0,33.56090878939445,34.77247197707614,40.37348298435036
24,64,66.66666666666667,67.64930555555554,101.66666666666667,34.363284610608744,35.63676437416767,41.45632470754137
25,66,70.0,71.23263888888889,105.0,35.96495290830763,37.368432074062724,43.622008153923375
26,64,71.66666666666667,72.99305555555556,106.66666666666667,36.76532876165491,38.23472436693079,44.70412849979328
27,62,73.33333333333333,74.46875,108.33333333333333,37.56366311685622,39.103058814626664,45.783035437596446
28,61,75.0,76.32291666666667,110.0,38.361997472057524,39.971393262322536,46.86194237539962
29,59,76.66666666666667,77.93402777777777,111.66666666666667,39.16033182725884,40.83972771001841,47.9408493132028
30,62,83.33333333333333,84.12152777777779,118.33333333333333,42.34176004758594,44.32497071187497,52.216364714877386
31,64,85.0,85.85416666666667,120.0,43.13509350785263,45.19830417329721,53.27590673843312
32,66,86.66666666666667,87.65277777777779,121.66666666666667,43.92842696811932,46.07163763471945,54.33544876198886
33,66,90.0,90.59722222222223,130.0,45.51114669569244,47.82225438347261,56.43064782028236
34,64,93.33333333333333,93.55555555555556,133.33333333333334,47.091871824753255,49.574866488223975,58.51252307473018
35,62,95.0,95.29513888888889,135.00000000000003,47.88020574408147,50.45320130594315,59.53848609491909
36,64,96.66666666666667,97.01736111111111,136.66666666666669,48.66853966340968,51.331536123662325,60.56444911510798
37,64,103.33333333333333,104.16319444444444,148.33333333333334,51.813931681915136,54.852814748782876,64.60002214449543
38,66,105.0,105.88888888888889,155.00000000000003,52.59732856621229,55.736086712459475,65.5809075993324
39,67,106.66666666666667,107.53472222222223,156.66666666666669,53.38066297010264,56.61942119412764,66.56118827329497
40,67,110.0,110.59375,160.00000000000003,54.94539914459858,58.38802188107881,68.5012610519161
41,66,113.33333333333333,113.48958333333333,163.33333333333334,56.50706706840793,60.15968937452364,70.40880615582007
42,64,115.0,115.1701388888889,165.00000000000003,57.28646857770469,61.04695588350416,71.34630387187947
43,66,116.66666666666667,116.79513888888889,166.66666666666669,58.06480225869373,61.93529045162254,72.27166943754618
44,62,123.33333333333333,122.55555555555556,173.33333333333334,61.17220997024407,65.49455369660689,75.90234174186257
45,64,125.0,123.97569444444446,175.00000000000003,61.947616681279136,66.38581453318261,76.79258022069178
46,66,126.66666666666667,125.58333333333333,176.66666666666669,62.72095088074677,67.27914865264997,77.65724766094758
47,66,130.0,128.97569444444446,185.00000000000003,64.26761927968205,69.06581689158469,79.38658254145919
48,64,133.33333333333334,132.45833333333334,188.33333333333334,65.80936561599506,70.85740714800521,81.05422839896718
49,62,135.00000000000003,134.01041666666669,190.00000000000003,66.5801997201625,71.75324133984631,81.88756173230051
50,64,136.66666666666669,135.7465277777778,191.66666666666669,67.34911676500589,72.65099187534311,82.69687323446708
51,64,140.00000000000003,138.71875000000003,195.00000000000003,68.88578394901717,74.44765941638798,84.30087425461171
52,62,143.33333333333334,142.5451388888889,203.33333333333334,70.41853510693993,76.24824453629918,85.85656011225448
53,61,145.00000000000003,144.4201388888889,210.00000000000003,71.18436910782523,77.14907888907673,86.6277211569001
54,59,146.66666666666669,145.9340277777778,211.66666666666669,71.94929176136623,78.05082464687781,87.38799646806723
55,78,186.66666666666669,185.85069444444446,251.66666666666669,90.0670098549552,99.93314784138484,103.2415344659066
56,78,196.66666666666669,195.86458333333334,266.6666666666667,94.52624280754905,105.47392092720118,106.77171707339345
57,76,206.66666666666669,204.7013888888889,276.6666666666667,98.9574927712957,111.04267986481615,110.2792041685051
58,78,216.66666666666669,215.3263888888889,286.6666666666667,103.3607505669661,116.63942678807366,113.84526035466264
59,78,226.66666666666669,225.78125000000003,296.6666666666667,107.73602578786317,122.2641609818337,117.5480346381136
60,78,236.66666666666669,234.32986111111111,311.6666666666667,112.08316833104983,127.91702605543745,121.45983180609727
61,76,246.66666666666669,244.9965277777778,321.6666666666667,116.40145879821544,133.5987455136398,125.64947086628281
62,71,256.6666666666667,253.5243055555556,331.6666666666667,120.69176459454982,139.30844927277488,130.15406509973923
63,78,266.6666666666667,264.7083333333333,341.6666666666667,124.95408597416062,145.04613723223434,135.0001111895957
64,78,276.6666666666667,273.27777777777777,356.6666666666667,129.18841694603407,150.81181343929651,140.1957783884601
65,76,286.6666666666667,284.71875,366.6666666666667,133.3947579813389,156.60547954190957,145.73034271585345
66,78,296.6666666666667,295.74305555555554,376.6666666666667,137.57311636619002,162.42712947715935,151.5747722991353
67,73,306.6666666666667,305.93402777777777,386.6666666666667,141.72348478206388,168.27677153393122,157.68344067074784
68,73,310.0,308.90277777777777,390.0,143.10015192597515,170.2334391724095,159.77227460009513
69,69,313.3333333333333,312.25347222222223,393.3333333333333,144.47400640431135,172.19292006997966,161.87812422068475
70,73,316.6666666666667,315.09375,401.6666666666667,145.84567325386695,174.15458905795464,163.99720826779625
71,73,320.0,318.59027777777777,405.0,147.212533205313,176.1210652487413,166.13851655366466
72,69,323.3333333333333,322.40277777777777,408.3333333333333,148.57739304214334,178.0895408025446,168.28635979658674
73,69,326.6666666666667,326.09375,411.6666666666667,149.9390599402934,180.06120794569748,170.44417367219307
74,69,328.3333333333333,327.7916666666667,413.3333333333333,150.6185915990519,181.04834367213002,171.52512997738577
75,69,330.0,329.39930555555554,415.0,151.29692561071926,182.03667738103016,172.60797170057677
76,69,331.6666666666667,331.21527777777777,416.6666666666667,151.9752596223866,183.0250110899303,173.69081342376776
77,69,333.3333333333333,332.7916666666667,418.3333333333333,152.65279665162308,184.01414201470186,174.77365514695876
78,69,335.0,334.60416666666663,420.0,153.3286303262524,185.00497679300258,175.85649687014975
79,69,336.6666666666667,336.25347222222223,421.6666666666667,154.00446400088174,185.9958115713033,176.93933859334078
80,71,343.3333333333333,342.35416666666663,428.3333333333333,156.700001487968,189.9669473901619,181.2584338741765
81,73,345.0,343.96875,430.0,157.37104368140467,190.96257259733565,182.3301840772634
82,74,346.6666666666667,345.8020833333333,431.6666666666667,158.04187756817595,191.95840603025235,183.40128366810333
83,74,350.0,349.49652777777777,435.0,159.3817537110933,193.95186552643563,185.5351999265629
84,73,353.3333333333333,353.04513888888886,438.3333333333333,160.71842158521662,195.94853508161756,187.65428397367438
85,71,355.0,354.6006944444444,440.0,161.38546906049862,196.94815627562681,188.7060428940137
86,73,356.6666666666667,356.0486111111111,441.6666666666667,162.05130299086306,197.94899097176338,189.75045985868735
87,73,363.3333333333333,362.99305555555554,448.3333333333333,164.7088577997216,201.95811190746483,193.88545297076095
88,74,365.0,364.8888888888889,450.0,165.37191058453718,202.96172810271293,194.90899824093418
89,76,366.6666666666667,366.5,451.6666666666667,166.03274429234293,203.96756193896317,195.91347014987278
90,76,370.0,369.54513888888886,460.0,167.35441170795445,205.97922961146367,197.92241396774997
91,74,373.3333333333333,372.88888888888886,463.3333333333333,168.67130347746232,207.99567535067663,199.8851424471417
92,73,375.0,374.79513888888886,465.0,169.32963739232395,209.00401024692908,200.86542312110427
93,74,376.6666666666667,376.30555555555554,466.6666666666667,169.9862005605524,210.01411542673964,201.8269272086427
94,71,383.3333333333333,382.59722222222223,478.3333333333333,172.6057649721788,214.06122171679874,205.59917021213704
95,73,385.0,384.4201388888889,485.0,173.25909841004548,215.07455515822096,206.52453577780375
96,74,386.6666666666667,386.2986111111111,486.6666666666667,173.91166640848755,216.08865465093112,207.44075712213697
97,74,390.0,389.5833333333333,490.0,175.2133344961419,218.12032431769666,209.23177088965983
98,73,393.3333333333333,392.4722222222222,493.3333333333333,176.51223638319664,220.15475878366624,210.98866852280457
99,71,395.0,394.2604166666667,495.0,177.1605699067078,221.1730928705668,211.85333596306037
100,73,396.6666666666667,396.02430555555554,496.6666666666667,177.80890343021898,222.19142695746734,212.71800340331617
101,73,403.3333333333333,401.94791666666663,503.3333333333333,180.39072266377684,226.27628262952226,216.0323413355651
102,74,405.0,403.37152777777777,505.0,181.03405605715463,227.2996166928339,216.8343418456374
103,76,406.6666666666667,404.86805555555554,506.6666666666667,181.67738945053242,228.32295075614553,217.63634235570973
104,78,410.0,408.51041666666663,515.0,182.96030102539555,230.37337492586153,219.194019928828
105,76,411.6666666666667,410.29861111111114,521.6666666666667,183.6011344164039,231.3992095449076,219.9651809734736
106,74,413.3333333333333,411.93055555555554,523.3333333333334,184.2412179899083,232.42579419882873,220.7273846145712
107,73,415.0,413.53125,525.0000000000001,184.87955198923677,233.4541289341251,221.46868764739017
108,71,416.6666666666667,415.14930555555554,526.6666666666667,185.51788598856524,234.48246366942143,222.20999068020913
109,74,423.3333333333333,421.72222222222223,538.3333333333334,188.06347140946326,238.60355131098052,225.08713967032378
110,76,425.0,423.15625,545.0000000000001,188.6970604929924,239.6366313919989,225.7762327743483
111,78,426.6666666666667,424.95138888888886,546.6666666666667,189.3303943752151,240.66996679200304,226.46261979778978
112,78,430.0,428.23263888888886,550.0000000000001,190.5953223836269,242.73837594270495,227.81856181243643
113,76,433.3333333333333,431.6666666666667,553.3333333333334,191.85698965168828,244.81004319979678,229.14295636546652
114,74,435.0,433.46527777777777,555.0000000000001,192.48658393234115,245.8471172606596,229.79449719786533
115,76,436.6666666666667,435.1458333333333,556.6666666666667,193.11491803014763,246.88545260144124,230.43520248624677
116,76,443.3333333333333,441.9513888888889,563.3333333333334,195.6225196470245,251.0445252629276,232.95569636297228
117,78,445.0,443.4479166666667,565.0000000000001,196.24812435261038,252.0855884132682,233.57656188085477
118,79,446.6666666666667,445.2881944444444,566.6666666666667,196.8714577150326,253.1289222404462,234.18368882259853
119,79,450.0,448.68055555555554,575.0000000000001,198.11812443987702,255.21558989480224,235.397942706086
120,78,453.3333333333333,451.6076388888889,578.3333333333334,199.36006212897655,257.3069884689223,236.59033454308098
121,76,455.0,453.44444444444446,580.0000000000001,199.98089556060853,258.35282322284786,237.18590445584192
122,78,456.6666666666667,455.14236111111114,581.6666666666667,200.6000051437856,259.40038176756343,237.77608990515216
123,74,463.3333333333333,462.7118055555556,593.3333333333334,203.0696162770725,263.5974448018156,240.1212755433736
124,76,465.0,464.25694444444446,600.0000000000001,203.68545035659145,264.6482800056356,240.70510259978764
125,78,466.6666666666667,466.15277777777777,601.6666666666667,204.3005655562221,265.69983376894,241.28892965620167
126,78,470.0,469.4201388888889,605.0000000000001,205.52723281168903,267.80650285125387,242.45658376902975
127,76,473.3333333333333,472.58333333333337,608.3333333333334,206.7511869253077,269.9158855910381,243.6285085307761
128,74,475.0,474.39236111111114,610.0000000000001,207.36202092139592,270.97172023888555,244.21627015817046
129,76,476.6666666666667,475.95486111111114,611.6666666666667,207.97285491748414,272.027554886733,244.80403178556486
130,76,480.0,479.4826388888889,615.0000000000001,209.1898092462717,274.14393923649436,245.9942769117218
131,74,483.3333333333333,482.52777777777777,618.3333333333334,210.40476861355037,276.2623179042023,247.1933140403819
132,73,485.0,483.9618055555556,620.0000000000001,211.01060230735476,277.3231525264497,247.80044098212562
133,71,486.6666666666667,485.4166666666667,621.6666666666667,211.61643600115912,278.3839871486971,248.40756792386938
134,59,506.6666666666667,507.27083333333337,646.6666666666667,218.81963847481688,291.18080223805555,256.1741799851586
135,71,526.6666666666667,529.326388888889,666.6666666666667,225.91089228259628,304.08956011022156,265.0669351820514
